0.8,0.54,0.619
0.8,0.54,0.619
0.6,0.53,0.62
0.6,0.52,0.62
0.6,0.52,0.621
0.6,0.54,0.622
0.9,0.52,0.622
0.7,0.54,0.619
0.9,0.54,0.62
0.8,0.54,0.621
0.7,0.55,0.62
0.6,0.54,0.622
0.7,0.52,0.619
0.9,0.52,0.622
0.6,0.53,0.619
0.6,0.55,0.619
0.6,0.55,0.622
0.7,0.55,0.621
0.9,0.52,0.62
0.7,0.54,0.621
0.6,0.54,0.622
0.9,0.54,0.622
0.9,0.52,0.62
0.8,0.55,0.621
0.6,0.53,0.621
0.9,0.54,0.619
0.7,0.53,0.619
0.7,0.55,0.621
0.9,0.52,0.62
0.7,0.55,0.621
0.8,0.52,0.619
0.7,0.55,0.622
0.7,0.53,0.622
0.7,0.53,0.621
0.8,0.53,0.622
0.8,0.52,0.62
0.9,0.52,0.62
0.9,0.52,0.619
0.9,0.55,0.622
0.6,0.53,0.619
0.8,0.53,0.621
0.8,0.52,0.621
0.9,0.53,0.619
0.7,0.53,0.622
0.6,0.53,0.619
0.7,0.52,0.622
0.6,0.52,0.619
0.9,0.54,0.619
0.7,0.54,0.621
0.7,0.54,0.622
0.6,0.53,0.62
0.7,0.55,0.622
0.9,0.53,0.619
0.6,0.54,0.62
0.6,0.52,0.619
0.6,0.52,0.62
0.8,0.53,0.622
0.6,0.54,0.622
0.6,0.52,0.619
0.8,0.53,0.621
0.9,0.52,0.62
0.9,0.52,0.619
0.8,0.55,0.619
0.9,0.54,0.619
0.7,0.55,0.62
0.9,0.54,0.622
0.7,0.52,0.62
0.7,0.54,0.62
0.9,0.53,0.621
0.6,0.53,0.62
0.6,0.54,0.621
0.8,0.52,0.62
0.7,0.54,0.622
0.6,0.55,0.622
0.6,0.55,0.62
0.6,0.55,0.621
0.6,0.55,0.621
0.7,0.55,0.62
0.8,0.55,0.621
0.8,0.54,0.622
0.8,0.55,0.62
0.6,0.54,0.621
0.8,0.54,0.62
0.9,0.55,0.622
0.9,0.55,0.62
0.9,0.54,0.619
0.9,0.52,0.622
0.9,0.52,0.62
0.9,0.52,0.621
0.8,0.55,0.62
0.6,0.53,0.621
0.8,0.52,0.621
0.6,0.52,0.619
0.7,0.54,0.622
0.8,0.54,0.621
0.9,0.53,0.621
0.7,0.53,0.619
0.9,0.52,0.619
0.9,0.55,0.622
0.6,0.52,0.619
0.6,0.52,0.621
0.9,0.52,0.62
0.9,0.53,0.619
0.7,0.53,0.619
0.7,0.53,0.62
0.8,0.55,0.621
0.7,0.55,0.619
0.9,0.53,0.62
0.9,0.55,0.619
0.7,0.52,0.619
0.7,0.55,0.621
0.9,0.52,0.622
0.9,0.55,0.619
0.6,0.53,0.621
0.6,0.55,0.619
0.7,0.55,0.619
0.6,0.54,0.622
0.9,0.53,0.619
0.8,0.52,0.622
0.6,0.53,0.619
0.9,0.54,0.622
0.9,0.53,0.619
0.7,0.54,0.62
0.9,0.52,0.622
0.8,0.54,0.619
0.6,0.53,0.621
0.7,0.55,0.622
0.8,0.54,0.621
0.8,0.52,0.622
0.7,0.53,0.62
0.8,0.55,0.621
0.8,0.54,0.619
0.8,0.54,0.622
0.9,0.53,0.62
0.9,0.54,0.622
0.9,0.54,0.619
0.8,0.55,0.622
0.6,0.55,0.621
0.7,0.53,0.619
0.6,0.55,0.622
0.8,0.55,0.62
0.6,0.52,0.622
0.7,0.52,0.62
0.6,0.53,0.619
0.7,0.53,0.619
0.7,0.54,0.622
0.9,0.55,0.622
0.7,0.52,0.62
0.9,0.54,0.62
0.6,0.54,0.621
0.6,0.55,0.621
0.6,0.54,0.622
0.9,0.52,0.62
0.6,0.53,0.621
0.6,0.55,0.622
0.6,0.53,0.621
0.8,0.55,0.622
0.7,0.55,0.622
0.7,0.55,0.619
0.7,0.52,0.622
0.6,0.53,0.622
0.6,0.53,0.62
0.9,0.54,0.62
0.8,0.54,0.619
0.9,0.53,0.621
0.9,0.52,0.619
0.6,0.54,0.619
0.8,0.55,0.622
0.9,0.53,0.621
0.7,0.52,0.619
0.8,0.55,0.619
0.7,0.52,0.619
0.8,0.53,0.621
0.9,0.54,0.62
0.7,0.55,0.619
0.8,0.55,0.622
0.7,0.53,0.619
0.9,0.53,0.62
0.9,0.52,0.62
0.6,0.54,0.62
0.9,0.54,0.619
0.7,0.54,0.62
0.6,0.55,0.62
0.8,0.55,0.62
